,blacklivesmatter,blm,nowplaying,spotify,podcast,allblacklivesmatter,georgefloyd,blacktranslivesmatter,music,vidasnegrasimportam,everyblacklifematters,blackqueerlivesmatter,newmusic,black_lives_matter,hiphop,voting,covid19,indie,justiceforgeorgefloyd,icantbreathe,spotifyplaylist,blackouttuesday,indiepopdatabase,coronavirus,newrelease,justiceforbreonnataylor,zombies,nojusticenopeace,rap,listen,racism,protest,love,protests2020,policebrutality,trump,keepingitpeel,podernfamily,viral,breonnataylor,podcasts,blacklivesmatteruk,newmusicfriday,protests,defundthepolice,np,wewillvote,blacktwitter,hiphopmusic,playlist,datpiff,fuckthepolice,share,georgefloydprotest,acab,blacklivesmattter,spinrilla,bayarearap,gainyourway,dontoriano,sanquinn,blacklivesmattters,folloforfolloback,juneteenth2020,50djs50states,fillmore,newmusicalert,vote,lgbtq,alllivesmatter,rapgame,blacklifematters,usa,unity,rappers,stopthehate,georgefloydmemorial,blackoutday,nowornever,georgefloydprotests,pride,applemusic,powertothepeople,nba,artist,fuck,riots2020,stopthekillings,ig,lgtwo,breonnatayor,vivalarevolucion,producers,rt,blacklivesmatttersuk,itunes,yougoodbymistarjonah,recordlabels,blacklivesmatterberlin,ゴタポ
blacklivesmatter,7145,353,288,1008,738,260,219,271,385,245,243,240,145,33,109,4,131,115,109,107,86,83,107,70,85,77,80,73,59,686,194,103,207,48,47,65,55,23,161,38,71,46,33,100,36,37,44,33,38,613,41,40,162,33,32,8,41,41,41,41,41,15,36,34,40,40,34,36,14,30,39,22,43,16,37,8,32,32,36,23,45,25,33,39,45,77,26,11,40,11,32,31,32,43,30,51,30,30,30,16
spotify,1008,314,77,1995,242,0,70,5,237,5,0,0,107,23,79,0,26,25,37,49,91,20,0,11,56,7,0,8,49,260,56,28,40,5,15,10,0,11,48,11,68,11,17,28,8,4,43,7,14,600,43,4,73,9,2,14,41,41,41,41,41,8,37,7,40,40,15,11,8,6,39,15,23,3,6,1,5,5,0,14,17,33,1,24,29,9,4,3,35,11,0,0,1,24,0,77,0,0,0,0
blm,353,2075,124,314,240,28,56,1,144,1,0,0,62,8,57,158,59,23,24,15,23,9,0,16,6,13,0,15,33,181,51,49,69,15,17,19,0,30,7,19,39,14,24,53,10,7,0,18,5,132,1,36,62,0,20,16,0,0,0,0,0,27,5,13,0,0,12,170,32,8,0,9,18,28,2,29,0,7,0,6,13,13,32,21,22,40,11,21,0,21,1,31,0,11,0,24,0,0,0,0
listen,686,181,35,260,187,1,47,6,112,0,0,1,41,9,20,2,17,0,3,9,53,5,0,9,33,37,0,5,9,953,48,12,35,9,4,7,0,3,39,7,25,7,1,29,5,1,0,3,1,75,40,0,64,1,2,2,40,40,40,40,40,11,33,3,40,40,8,8,6,2,38,2,13,0,1,0,0,0,36,4,7,7,0,4,8,4,8,0,33,1,0,0,0,10,0,14,0,0,0,0
podcast,738,240,19,242,1105,27,42,10,13,8,0,0,1,17,2,0,63,0,8,2,0,3,0,58,0,4,86,3,2,187,70,26,21,6,11,16,0,30,118,7,51,3,0,42,2,2,1,4,0,6,0,1,43,0,6,3,0,0,0,0,0,13,2,4,0,0,4,3,27,4,0,3,11,27,0,30,0,1,0,5,8,2,0,24,5,1,9,27,3,0,0,0,0,10,0,22,0,0,0,3
playlist,613,132,78,600,6,0,11,3,169,4,1,1,7,13,13,0,6,117,7,0,19,13,107,3,19,5,0,6,20,75,17,28,26,3,1,1,55,0,4,0,1,7,1,15,1,1,0,2,3,1165,0,2,43,0,6,4,0,0,0,0,0,1,0,3,0,0,7,0,1,2,0,6,3,0,1,0,0,5,0,4,12,4,1,0,20,8,2,0,0,1,0,0,0,4,0,3,0,0,0,0
music,385,144,37,237,13,0,17,5,606,1,0,1,70,9,57,0,11,23,8,6,55,8,0,12,7,3,0,7,39,112,14,25,41,5,5,1,0,1,37,3,5,7,8,6,0,18,0,3,10,169,34,0,27,0,3,0,34,34,34,34,34,3,0,4,34,34,11,2,2,4,34,3,8,0,6,0,0,2,0,1,6,14,1,3,34,3,5,0,32,7,0,0,0,5,0,10,0,0,0,0
nowplaying,288,124,688,77,19,1,7,2,37,1,0,0,19,7,12,0,2,3,3,2,9,17,0,2,1,2,0,1,5,35,10,6,16,2,7,5,0,2,0,0,1,2,7,9,4,7,0,4,1,78,0,0,5,0,2,2,0,0,0,0,0,4,0,2,0,0,0,4,3,1,0,3,2,2,0,0,0,2,0,2,8,1,0,0,2,5,0,0,0,0,0,0,0,3,0,1,0,0,0,2
allblacklivesmatter,260,28,1,0,27,284,1,246,0,0,239,239,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,21,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
blacktranslivesmatter,271,1,2,5,10,246,1,272,5,0,239,240,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,6,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0
newmusic,145,62,19,107,1,0,1,0,70,0,0,0,206,0,36,0,7,19,4,1,50,3,1,7,23,0,0,1,19,41,3,1,13,2,0,1,0,0,38,0,0,0,9,0,0,8,0,1,7,7,34,0,13,0,0,0,34,34,34,34,34,2,0,1,33,33,12,2,0,2,34,2,2,2,3,0,0,0,0,1,0,11,1,0,8,0,0,0,33,8,0,0,0,4,0,4,0,0,0,0
viral,161,7,0,48,118,0,1,0,37,0,0,0,38,7,10,0,32,0,0,0,42,0,0,46,1,0,86,0,2,39,0,0,1,0,1,0,0,0,175,0,8,0,1,1,0,0,0,0,1,4,34,0,0,0,1,0,34,34,34,34,34,0,0,0,33,33,1,0,0,0,34,0,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0
everyblacklifematters,243,0,0,0,0,239,0,239,0,0,243,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackqueerlivesmatter,240,0,0,0,0,239,0,240,1,0,239,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
georgefloyd,219,56,7,70,42,1,278,1,17,0,0,0,1,13,3,0,8,1,10,12,10,6,0,7,17,1,0,13,2,47,13,12,9,15,7,5,0,2,1,23,4,3,0,11,7,2,0,1,0,11,6,1,19,3,1,6,6,6,6,6,6,4,6,1,6,6,2,2,1,0,4,3,1,0,0,0,4,3,0,12,1,2,0,1,4,2,2,0,1,0,2,0,0,4,0,0,0,0,0,0
spotifyplaylist,86,23,9,91,0,0,10,0,55,0,0,0,50,0,18,0,3,5,0,0,112,2,0,1,0,4,0,3,10,53,3,2,8,0,0,0,0,0,42,3,0,0,4,1,0,2,0,0,3,19,41,0,5,0,0,0,41,41,41,41,41,1,1,2,40,40,3,2,0,1,39,1,9,1,1,0,0,0,0,0,0,5,1,3,6,0,0,0,33,4,0,0,1,9,0,4,0,0,0,0
share,162,62,5,73,43,0,19,2,27,0,0,0,13,8,8,0,5,1,4,2,5,1,0,2,7,5,0,3,7,64,7,7,17,4,2,0,0,0,0,1,3,3,1,20,1,0,0,0,1,43,0,0,248,5,0,2,0,0,0,0,0,9,0,1,0,0,2,4,0,0,0,3,0,1,0,0,1,0,0,5,2,2,0,5,9,2,8,1,2,1,0,0,0,7,0,8,0,0,0,0
love,207,69,16,40,21,0,9,1,41,1,0,0,13,5,10,0,5,2,5,3,8,2,0,6,0,3,0,1,7,35,10,5,293,3,4,1,0,1,1,4,2,0,2,1,1,1,0,2,5,26,0,0,17,0,0,1,0,0,0,0,0,3,1,2,0,0,3,1,0,4,0,1,2,7,2,1,0,0,0,1,3,9,0,1,10,3,1,1,0,3,0,0,0,1,0,3,0,0,0,0
racism,194,51,10,56,70,0,13,1,14,1,0,0,3,3,2,0,1,0,7,1,3,2,0,1,0,0,0,1,5,48,272,10,10,2,9,3,0,1,0,2,9,1,0,13,1,3,0,1,1,17,0,0,7,0,1,2,0,0,0,0,0,1,1,1,0,0,2,3,0,3,0,0,2,0,1,0,0,1,0,1,1,0,0,1,4,6,2,0,0,0,0,0,0,9,0,0,0,0,0,0
hiphop,109,57,12,79,2,0,3,0,57,0,0,0,36,1,162,0,7,9,5,0,18,2,0,12,8,1,0,3,55,20,2,6,10,2,7,1,0,0,10,1,0,0,10,1,0,1,0,3,13,13,0,1,8,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,1,0,0,9,0,7,0,0,0,0,1,1,10,1,0,16,0,0,0,1,0,0,0,1,2,0,7,0,0,0,0
covid19,131,59,2,26,63,0,8,2,11,0,0,0,7,2,7,0,159,2,1,0,3,1,0,13,1,2,31,2,4,17,1,4,5,0,0,2,0,1,32,0,2,0,2,3,1,1,0,0,1,6,0,31,5,0,1,0,0,0,0,0,0,1,1,0,0,0,1,4,0,4,0,0,2,1,0,0,0,2,0,0,0,3,31,1,1,31,3,0,0,4,0,31,1,0,0,5,0,0,0,0
indie,115,23,3,25,0,0,1,0,23,0,0,0,19,0,9,0,2,147,5,1,5,2,107,5,1,0,0,0,1,0,0,1,2,0,0,0,55,0,0,0,0,0,1,0,0,0,0,0,0,117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
datpiff,41,1,0,43,0,0,6,0,34,0,0,0,34,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,41,41,41,41,41,0,0,0,40,40,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,0,0,0,5,0,2,0,0,0,0
sanquinn,41,0,0,41,0,0,6,0,34,0,0,0,34,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,41,41,41,41,0,0,0,40,40,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0
spinrilla,41,0,0,41,0,0,6,0,34,0,0,0,34,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,41,41,41,41,0,0,0,40,40,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0
bayarearap,41,0,0,41,0,0,6,0,34,0,0,0,34,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,41,41,41,41,0,0,0,40,40,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0
gainyourway,41,0,0,41,0,0,6,0,34,0,0,0,34,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,41,41,41,41,0,0,0,40,40,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0
dontoriano,41,0,0,41,0,0,6,0,34,0,0,0,34,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,41,41,41,41,0,0,0,40,40,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0
vote,36,170,4,11,3,0,2,0,2,1,0,0,2,1,0,155,4,2,0,0,2,0,0,0,0,1,0,2,0,8,3,5,1,0,1,6,0,0,0,1,4,0,1,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,212,1,0,0,0,4,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
fillmore,40,0,0,40,0,0,6,0,34,0,0,0,33,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,40,40,40,40,0,0,0,40,40,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,5,0,0,0,0,0,0
50djs50states,40,0,0,40,0,0,6,0,34,0,0,0,33,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,40,40,40,40,0,0,0,40,40,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,5,0,0,0,0,0,0
rapgame,39,0,0,39,0,0,4,0,34,0,0,0,34,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39,39,39,39,39,0,0,0,38,38,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0
ig,40,0,0,35,3,0,1,0,32,0,0,0,33,1,1,0,0,0,1,0,33,0,0,0,0,1,0,0,2,33,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,33,0,2,0,0,0,33,33,33,33,33,0,0,0,32,32,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,0,0,0,0,2,0,2,0,0,0,0
protests,100,53,9,28,42,0,11,0,6,0,0,0,0,1,1,0,3,0,2,0,1,0,0,3,0,0,0,2,2,29,13,11,1,2,3,1,0,1,1,2,4,2,2,158,0,1,0,0,0,15,0,0,20,0,2,2,0,0,0,0,0,10,0,2,0,0,1,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,5,0,2,10,0,0,1,0,0,0,0,0,2,0,0,0,0
protest,103,49,6,28,26,0,12,0,25,0,0,0,1,3,6,0,4,1,5,2,2,0,0,1,0,1,0,2,2,12,10,154,5,0,9,2,0,0,0,1,5,2,1,11,1,1,0,0,1,28,0,0,7,0,1,1,0,0,0,0,0,1,0,1,0,0,0,5,0,1,0,1,0,2,1,0,0,1,0,2,1,2,0,4,2,1,2,0,0,1,0,0,0,1,0,3,0,0,0,0
trump,65,19,5,10,16,0,5,0,1,0,0,0,1,0,1,0,2,0,1,1,0,2,0,1,0,0,0,1,0,7,3,2,1,1,1,91,0,1,0,0,4,1,0,1,1,0,0,0,0,1,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,6,0,30,0,30,1,0,1,6,0,0,0,0,5,1,0,0,0,30,0,30,0,30,7,30,30,30,0
vidasnegrasimportam,245,1,1,5,8,0,0,0,1,247,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
rap,59,33,5,49,2,0,2,0,39,0,0,0,19,2,55,0,4,1,0,0,10,2,0,2,8,0,0,1,98,9,5,2,7,0,1,0,0,0,2,1,1,0,4,2,0,0,0,3,9,20,1,0,7,0,0,0,1,1,1,1,1,3,0,1,0,0,5,0,0,1,1,1,1,1,7,0,0,0,0,0,0,3,0,0,15,0,0,0,2,0,0,0,1,3,0,3,0,0,0,0
indiepopdatabase,107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,107,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voting,4,158,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
podcasts,71,39,1,68,51,0,4,0,5,0,0,0,0,3,0,0,2,0,4,0,0,0,0,4,0,1,2,1,1,25,9,5,2,3,2,4,0,3,8,0,124,1,0,4,0,1,0,3,0,1,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,4,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0
coronavirus,70,16,2,11,58,0,7,0,12,0,0,0,7,9,12,0,13,5,1,0,1,0,0,96,1,0,44,1,2,9,1,1,6,2,1,1,0,2,46,0,4,0,1,3,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,2,0,0,0,2,0,4,0,0,0,0
justiceforgeorgefloyd,109,24,3,37,8,0,10,0,8,1,0,0,4,8,5,0,1,5,131,8,0,5,0,1,1,11,0,9,0,3,7,5,5,2,2,1,0,0,0,1,4,0,0,2,0,1,0,0,0,7,0,0,4,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,2,1,3,0,0,0,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0
black_lives_matter,33,8,7,23,17,1,13,0,9,1,0,0,0,194,1,0,2,0,8,1,0,4,0,9,1,1,7,1,2,9,3,3,5,3,2,0,0,0,7,1,3,4,1,1,2,0,0,2,0,13,1,0,8,1,1,5,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,8,1,1,0,0,1,2,0,1,1,2,0,0,1,1,6,0,1,0,0,0,0,1,0,2,0,0,0,0
icantbreathe,107,15,2,49,2,1,12,1,6,0,0,0,1,1,0,0,0,1,8,118,0,2,0,0,0,1,0,22,0,9,1,2,3,0,1,1,0,0,0,1,0,0,1,0,1,1,44,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
