,blacklivesmatter,blm,nowplaying,spotify,podcast,allblacklivesmatter,georgefloyd,blacktranslivesmatter,music,vidasnegrasimportam,everyblacklifematters,blackqueerlivesmatter,newmusic,black_lives_matter,hiphop,voting,covid19,indie,justiceforgeorgefloyd,icantbreathe,spotifyplaylist,blackouttuesday,indiepopdatabase,coronavirus,newrelease,justiceforbreonnataylor,zombies,nojusticenopeace,rap,listen,racism,protest,love,protests2020,policebrutality,trump,keepingitpeel,podernfamily,viral,breonnataylor,podcasts,blacklivesmatteruk,newmusicfriday,protests,defundthepolice,np,wewillvote,blacktwitter,hiphopmusic,playlist,datpiff,fuckthepolice,share,georgefloydprotest,acab,blacklivesmattter,spinrilla,bayarearap,gainyourway,dontoriano,sanquinn,blacklivesmattters,folloforfolloback,juneteenth2020,50djs50states,fillmore,newmusicalert,vote,lgbtq,alllivesmatter,rapgame,blacklifematters,usa,unity,rappers,stopthehate,georgefloydmemorial,blackoutday,nowornever,georgefloydprotests,pride,applemusic,powertothepeople,nba,artist,fuck,riots2020,stopthekillings,ig,lgtwo,breonnatayor,vivalarevolucion,producers,rt,blacklivesmatttersuk,itunes,yougoodbymistarjonah,recordlabels,blacklivesmatterberlin,ゴタポ
zombies,80,0,0,0,86,0,0,0,0,0,0,0,0,7,0,0,31,0,0,0,0,0,0,44,0,0,87,0,0,0,0,0,0,0,0,0,0,0,86,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fuck,77,40,5,9,1,0,2,1,3,0,0,0,0,1,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,4,6,1,3,2,1,5,0,0,0,0,0,0,2,2,1,0,0,0,0,8,0,32,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,31,0,0,103,1,0,0,0,0,31,0,1,0,0,0,0,0,0
newrelease,85,6,1,56,0,0,17,0,7,0,0,0,23,1,8,0,1,1,1,0,0,0,0,1,91,0,0,0,8,33,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,19,0,0,7,0,0,0,0,0,0,0,0,0,33,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
rappers,37,2,0,6,0,0,0,0,6,0,0,0,3,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,1,2,0,0,30,0,0,1,0,0,0,3,0,0,0,0,0,6,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,30,0,0,0,0,1,0,0,5,0,0,0,0,0,30,0,30,1,30,1,30,30,30,0
itunes,51,24,1,77,22,0,0,1,10,0,0,0,4,2,7,0,5,0,0,0,4,0,0,4,2,0,0,0,3,14,0,3,3,1,0,7,0,0,0,0,6,0,1,2,0,0,0,1,1,3,2,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,1,0,0,4,0,1,0,0,0,0,1,3,8,0,3,2,0,0,0,2,0,0,0,0,3,0,84,0,0,0,0
georgefloydprotest,33,0,0,9,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,30,0,31,0,0,4,0,0,0,0,0,0,1,0,0,0,30,0,30,0,30,0,30,30,30,0
georgefloydmemorial,32,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,30,0,37,0,0,2,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,30,30,30,0
artist,45,22,2,29,5,0,4,0,34,0,0,0,8,1,16,0,1,2,0,1,6,0,0,0,1,1,0,0,15,8,4,2,10,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,6,20,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,79,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0
producers,32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,32,0,30,0,30,30,30,0
breonnatayor,32,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,30,0,30,0,30,30,30,0
nojusticenopeace,73,15,1,8,3,1,13,2,7,0,0,0,1,1,3,0,2,0,9,22,3,1,0,1,0,3,0,86,1,5,1,2,1,2,4,1,0,0,0,4,1,0,2,2,2,0,0,0,19,6,0,1,3,2,2,1,0,0,0,0,0,1,1,4,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackouttuesday,83,9,17,20,3,0,6,0,8,2,0,0,3,4,2,0,1,2,5,2,2,108,0,0,0,0,0,1,2,5,2,0,2,1,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,13,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
blacklivesmatterberlin,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,30,30,30,0
blacklivesmatttersuk,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,30,30,30,0
yougoodbymistarjonah,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,30,30,30,0
recordlabels,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,30,0,30,30,30,0
justiceforbreonnataylor,77,13,2,7,4,0,1,1,3,0,0,0,0,1,1,0,2,0,11,1,4,0,0,0,0,88,0,3,0,37,0,1,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,36,0,0,0,0,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
rt,43,11,3,24,10,0,4,0,5,4,0,0,4,1,2,0,0,0,2,0,9,1,0,2,0,1,0,0,3,10,9,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,4,5,0,7,0,1,0,5,5,5,5,5,0,0,0,5,5,2,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,60,0,3,0,0,0,0
keepingitpeel,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usa,43,18,2,23,11,0,1,0,8,0,0,0,2,1,9,0,2,0,0,1,9,0,0,3,0,1,0,1,1,13,2,0,2,2,0,6,0,0,8,1,4,0,0,3,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,66,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2,0,0,1,1,0,4,0,0,0,0
unity,16,28,2,3,27,21,0,0,0,0,0,0,2,1,0,0,1,0,3,0,1,1,0,0,1,0,0,2,1,0,0,2,7,0,0,0,0,15,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,23,1,0,1,0,48,0,24,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
fuckthepolice,40,36,0,4,1,0,1,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,32,0,0,0,0,0,31,0,0,0,0,0,0,0,0
lgbtq,14,32,3,8,27,21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,0,23,0,26,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
podernfamily,23,30,2,11,30,15,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,1,1,1,1,0,55,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
policebrutality,47,17,7,15,11,0,7,0,5,0,0,0,0,2,7,0,0,0,2,1,0,1,0,1,0,1,0,4,1,4,9,9,4,5,60,1,0,1,1,1,2,0,0,3,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
stopthehate,8,29,0,1,30,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,24,0,38,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
powertothepeople,33,32,0,1,0,0,0,0,1,0,0,0,1,0,1,0,31,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,31,0,0,0,1,0,31,0,0,0,0,0,0,0,0
protests2020,48,15,2,5,6,0,15,0,5,0,0,0,2,3,2,0,0,0,2,0,0,1,0,2,1,0,0,2,0,9,2,0,3,61,5,1,0,1,0,1,3,1,0,2,0,0,0,0,1,3,0,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,2,0,0,0,1,0,0,5,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
pride,45,13,8,17,8,0,1,2,6,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,7,1,1,3,0,0,6,0,0,0,0,0,0,1,0,1,1,0,1,0,12,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,73,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
nba,39,21,0,24,24,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,3,0,0,0,4,1,4,1,1,0,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
hiphopmusic,38,5,1,14,0,0,0,0,10,0,0,0,7,0,13,0,1,0,0,19,3,0,0,1,0,0,0,19,9,1,1,1,5,1,0,0,0,0,1,0,0,1,3,0,0,1,0,0,44,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
applemusic,25,13,1,33,2,0,2,0,14,0,0,0,11,2,10,0,3,3,3,0,5,0,0,1,0,0,0,0,3,7,0,2,9,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,1,42,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
vivalarevolucion,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0
newmusicfriday,33,24,7,17,0,0,0,0,8,0,0,0,9,1,10,0,2,1,0,1,4,0,0,1,2,0,0,2,4,1,0,1,2,0,0,0,0,0,1,0,0,0,51,2,0,3,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,5,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,0,2,2,0,0,1,2,0,1,0,0,0,1,0,0,0,0
stopthekillings,11,21,0,3,27,27,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,22,0,28,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
newmusicalert,34,12,0,15,4,0,2,0,11,0,0,0,12,0,7,0,1,4,0,0,3,0,4,0,3,0,0,0,5,8,2,0,3,1,0,0,0,0,1,1,0,0,5,1,0,4,0,0,2,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0
folloforfolloback,36,5,0,37,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,33,0,0,1,0,33,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
breonnataylor,38,19,0,11,7,1,23,2,3,0,0,0,0,1,1,0,0,0,1,1,3,0,0,0,0,0,0,4,1,7,2,1,4,1,1,0,0,1,0,52,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklivesmattters,15,27,4,8,13,0,4,0,3,0,0,0,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,11,1,1,3,1,0,0,0,0,0,0,2,2,1,10,3,1,0,1,0,1,0,0,9,0,0,1,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
wewillvote,44,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklivesmatteruk,46,14,2,11,3,0,3,0,7,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,2,0,1,0,1,0,0,0,1,1,52,0,2,0,0,0,0,1,7,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
np,37,7,7,4,2,0,2,0,18,0,0,0,8,0,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,1,0,3,1,0,45,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
riots2020,26,11,0,4,9,0,2,0,5,0,0,0,0,6,0,0,3,0,2,0,0,0,0,1,0,1,0,0,0,8,2,2,1,1,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,8,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,33,0,0,1,0,0,0,0,0,0,0,0,0,0
blacklifematters,22,9,3,15,3,1,3,0,3,1,0,0,2,8,0,0,0,0,1,0,1,2,0,1,1,1,0,1,1,2,0,1,1,4,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,6,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,1,0,0,1,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
acab,32,20,2,2,6,0,1,0,3,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,2,1,1,0,1,2,0,0,0,1,0,1,1,0,2,4,0,0,0,0,6,0,2,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
defundthepolice,36,10,4,8,2,0,7,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,5,1,1,1,0,1,1,0,0,0,1,0,0,0,0,46,0,0,0,0,1,0,2,1,0,4,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
georgefloydprotests,23,6,2,14,5,0,12,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,4,1,2,1,5,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,4,0,0,5,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blacktwitter,33,18,4,7,4,1,1,0,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,44,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nowornever,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juneteenth2020,34,13,2,7,4,0,1,0,4,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,0,0,0,4,1,3,1,1,2,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacklivesmattter,8,16,2,14,3,0,6,0,0,0,0,0,0,5,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,2,1,0,41,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lgtwo,11,21,0,11,0,0,0,0,7,0,0,0,8,0,0,0,4,12,0,0,4,1,0,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0
alllivesmatter,30,8,1,6,4,0,0,0,4,0,0,0,2,2,1,0,4,0,0,0,1,2,0,0,0,0,0,0,1,2,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
blackoutday,32,7,2,5,1,0,3,0,2,0,0,0,0,2,0,0,2,0,1,0,0,8,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ゴタポ,16,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
