,blacklivesmatter,blm,spotify,indie,music,indiepopdatabase,nowplaying,zombies,covid19,keepingitpeel,icantbreathe,hiphop,podcast,wewillvote,newmusic,rap,vote,unity,lgbtq,coronavirus,racism,museboost,stopthehate,spotifyplaylist,allblacklivesmatter,translivesmatter,stopthekillings,podernfamily,breonnataylor,love,letour2020,newmusicfriday,artist,viral,georgefloyd,justiceforbreonnataylor,rtlt,itunes,blackhistorymonth,blacktwitter,blacklivesstillmatter,usa,playlist,newmusicalert,votelikeyourlifedependsonit,new,share,podcasts,defundthepolice,jazz,rapper,allbuildingsmatter,mentalhealth,trap,applemusic,beats,blackisbeautiful,bethechange,hiphop_x_jazz,acab,podcastrecommendations,endracism,spotifycharts,rapmusic,hiphopmusic,art,trump,southafrica,vote2020,rtltbot,podcasting,rt,beherd,nbc,rappers,interview,youtube,sayhername,worldwide,royalty,blacktwittersa,level1lockdown,blackfriday,meghanlinsey,themourning,blackhistorymonthuk,global,soundcloud,policebrutality,nba,trapmusic,alllivesmatter,tip,drdre,spotifypodcasts,blues,rockthevote,dosomething,flipthesenateblue,nativevote
blacklivesmatter,587,30,126,73,33,71,28,49,40,48,43,27,97,41,22,14,20,4,1,19,24,0,0,12,0,0,0,2,12,19,15,10,10,57,8,9,0,5,10,6,6,8,93,7,9,55,19,4,7,7,5,7,5,5,4,4,8,2,0,4,7,0,5,2,3,1,3,6,5,0,3,7,5,0,2,8,6,6,7,6,6,6,3,6,6,6,7,6,6,1,5,3,5,0,6,4,5,5,5,5
spotify,126,58,221,9,63,0,9,0,5,0,41,32,33,40,13,21,9,2,0,1,6,21,0,17,0,0,0,1,7,10,0,6,13,8,6,1,11,16,3,3,4,11,40,1,0,21,8,10,0,3,6,0,5,7,7,7,6,0,0,0,1,1,6,5,6,4,5,7,1,7,1,3,6,0,5,2,11,2,6,6,6,6,4,0,0,2,6,7,0,2,6,2,0,5,3,1,0,0,0,0
blm,30,278,58,3,32,0,13,0,8,0,2,16,49,0,9,13,10,20,22,2,4,0,19,4,19,19,19,16,6,15,0,7,4,4,4,1,0,11,1,6,6,7,14,3,1,29,7,8,3,1,2,1,3,0,4,2,0,7,8,5,0,6,2,3,1,6,8,1,2,0,4,1,1,6,2,4,3,0,0,0,0,0,3,0,0,1,0,1,1,5,0,3,3,5,4,1,0,0,0,0
podcast,97,49,33,0,0,0,2,49,39,0,0,0,167,0,1,1,0,20,19,19,8,0,19,0,19,19,19,17,3,3,0,0,1,49,4,0,0,3,2,2,1,0,0,0,0,14,3,4,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,2,1,0,1,0,6,0,1,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,7,0,0,0,0,0
playlist,93,14,40,78,41,71,6,0,0,48,0,6,0,0,2,10,0,0,0,1,0,21,0,6,0,0,0,0,0,3,15,0,1,1,0,1,11,1,5,1,0,0,135,4,0,22,5,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,7,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
music,33,32,63,9,97,0,7,0,1,0,0,21,0,0,5,15,2,0,1,0,1,21,0,6,0,0,0,0,2,8,0,3,11,3,1,1,11,4,1,1,0,0,41,2,0,12,5,0,0,3,4,0,0,5,4,3,0,0,0,0,0,0,1,4,5,4,0,1,0,7,0,0,0,0,4,1,5,1,0,0,0,0,1,1,1,2,0,2,0,0,2,1,0,5,0,0,0,0,0,0
indie,73,3,9,83,9,71,3,0,0,48,0,0,0,0,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,15,0,2,0,0,0,3,0,0,0,0,0,78,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
new,55,29,21,19,12,19,2,0,5,3,2,5,14,1,4,2,1,1,1,1,1,0,0,0,0,0,0,1,3,4,8,2,2,2,2,0,0,3,1,2,0,0,22,6,0,95,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,2,1,0,0,2,2,0,0,0,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
indiepopdatabase,71,0,0,71,0,71,0,0,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,71,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viral,57,4,8,0,3,0,0,49,32,0,0,8,49,0,3,1,0,0,0,18,0,0,0,6,0,0,0,0,0,1,0,1,0,61,0,0,0,0,0,0,0,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,1,1,1,0,0,6,0,0,0,0,0,0,1,0,1,0,6,6,6,6,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0
hiphop,27,16,32,0,21,0,2,0,0,0,0,45,0,0,7,20,0,0,0,0,0,0,0,9,0,0,0,0,1,3,0,4,7,8,1,1,0,3,0,1,0,6,6,2,0,5,2,0,0,1,6,0,0,8,2,5,6,0,0,0,0,0,5,6,5,0,0,6,0,0,0,1,0,0,6,0,5,0,6,6,6,6,2,0,0,0,6,4,0,0,5,0,0,3,0,0,0,0,0,0
zombies,49,0,0,0,0,0,0,49,31,0,0,0,49,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keepingitpeel,48,0,0,48,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
covid19,40,8,5,0,1,0,0,31,48,0,0,0,39,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,1,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0
rap,14,13,21,0,15,0,1,0,0,0,0,20,1,0,5,30,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,2,7,1,1,0,0,1,4,1,0,0,10,0,0,2,4,0,0,5,6,0,0,5,3,4,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,3,0,4,0,0,0,0
unity,4,20,2,0,0,0,0,0,1,0,0,0,20,0,1,0,1,26,19,0,0,0,19,1,19,19,19,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lgbtq,1,22,0,0,1,0,1,0,0,0,0,0,19,0,0,0,1,19,23,0,0,0,19,0,19,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newmusic,22,9,13,3,5,1,4,0,1,0,0,7,1,0,33,5,2,1,0,0,0,0,0,3,0,0,0,0,0,4,0,3,3,3,0,0,0,3,0,0,0,2,2,0,0,4,1,0,0,1,3,0,0,2,1,2,2,0,0,0,0,0,1,3,4,0,1,3,0,0,0,0,0,0,3,0,2,1,2,2,2,2,1,2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
spotifyplaylist,12,4,17,0,6,0,2,0,0,0,0,9,0,0,3,2,1,1,0,0,0,2,0,19,0,0,0,0,3,3,0,1,2,6,3,0,0,1,0,0,0,6,6,0,0,0,1,0,0,0,2,0,0,2,3,3,6,0,0,0,0,0,4,0,0,0,0,6,0,3,0,0,0,0,0,0,1,2,6,6,6,6,0,0,0,0,6,3,0,0,4,0,0,0,0,0,0,0,0,0
love,19,15,10,1,8,0,4,0,1,0,0,3,3,0,4,4,1,1,0,0,1,0,0,3,0,0,0,0,2,39,0,0,5,1,2,0,0,0,0,0,0,0,3,0,2,4,3,0,0,0,4,0,2,2,2,3,0,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,0,0,2,1,2,1,0,0,0,0,0,1,1,1,0,2,2,0,2,1,0,0,0,0,0,0,0,0
icantbreathe,43,2,41,0,0,0,0,0,0,0,45,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stopthehate,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,19,0,19,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allblacklivesmatter,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,19,0,19,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
translivesmatter,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,19,0,19,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stopthekillings,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,19,0,0,0,19,0,19,19,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nowplaying,28,13,9,3,7,0,50,0,0,0,0,2,2,0,4,1,2,0,1,0,5,3,0,2,0,0,0,0,0,4,0,0,0,0,1,1,2,0,0,1,1,0,6,0,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
wewillvote,41,0,40,0,0,0,0,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
podernfamily,2,16,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,15,0,0,0,15,0,15,15,15,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
vote,20,10,9,2,2,0,2,0,1,0,0,0,0,0,2,0,32,1,1,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,4,0,0,0,4,0,0,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,5,5,5
artist,10,4,13,2,11,0,0,0,0,0,0,7,1,0,3,7,0,0,0,0,1,0,0,2,0,0,0,0,2,5,0,1,17,0,2,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,5,0,0,5,1,3,0,0,0,0,0,0,2,3,4,2,0,1,0,0,0,1,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0
usa,8,7,11,0,0,0,0,0,0,0,0,6,0,0,2,0,4,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,1,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
share,19,7,8,0,5,0,1,0,3,0,0,2,3,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,1,4,0,0,0,5,0,0,4,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0
museboost,0,0,21,4,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
racism,24,4,6,0,1,0,5,0,0,0,0,0,8,0,0,0,2,0,0,0,32,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
coronavirus,19,2,1,0,0,0,0,18,0,0,0,0,19,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itunes,5,11,16,0,4,0,0,0,0,0,0,3,3,0,3,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,16,0,0,0,4,1,1,0,3,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
southafrica,6,1,7,1,1,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
rapper,5,2,6,0,4,0,0,0,1,0,0,6,0,0,3,6,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,1,5,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,4,1,4,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
breonnataylor,12,6,7,0,2,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,1,0,0,3,0,0,0,1,17,2,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0
youtube,6,3,11,0,5,0,1,0,1,0,0,5,4,0,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,2,1,0,0,0,3,0,0,0,0,1,2,0,2,1,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
blackisbeautiful,8,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
global,7,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,6,6,6,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0
worldwide,7,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,6,6,6,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0
letour2020,15,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
royalty,6,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
blacktwittersa,6,0,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
